X,Y,osm_id,addr:housenumber,building,name,amenity,shop,man_made,building:levels,name:kn,addr:postcode,addr:city,addr:street,description,wikipedia,brand:wikidata,short_name,cuisine
77.5777895255905,13.0917871154171,370526891,#80,house,Deepanjali,,,,2,ದೀಪಾಂಜಲಿ,560065,bangalore,"3rd A main,4th A cross,someshwarnagar",,,,,
77.5780814805822,13.0919092996421,370526892,,yes,,,,,,,,,,,,,,
77.5798716415947,13.0920828995565,345947239,,yes,,,,,,,,,,,,,,
77.5797091578729,13.0922239002171,345947076,,yes,,,,,,,,,,,,,,
77.5798974667013,13.0921802506255,345947094,,yes,,,,,,,,,,,,,,
77.57981585,13.09219435,345947254,,yes,,,,,,,,,,,,,,
77.57960015,13.09227295,345947074,,yes,,,,,,,,,,,,,,
77.5794270355352,13.0925362496682,345947041,,yes,,,,,,,,,,,,,,
77.5795003041846,13.0924940500898,345947258,,yes,,,,,,,,,,,,,,
77.57956335,13.09260475,345947123,,yes,,,,,,,,,,,,,,
77.5796603140692,13.0924194503447,345947057,,yes,,,,,,,,,,,,,,
77.5797849,13.09236705,345947056,,yes,,,,,,,,,,,,,,
77.57964105,13.09255465,345947099,,yes,,,,,,,,,,,,,,
77.5797019436618,13.0925321998557,345947095,,yes,,,,,,,,,,,,,,
77.5798143546512,13.092481950234,345947081,,yes,,,,,,,,,,,,,,
77.5798952156109,13.0926104004416,345947043,,yes,,,,,,,,,,,,,,
77.5794856070207,13.0926505001755,345947161,,yes,,,,,,,,,,,,,,
77.579434,13.09284805,345947164,,yes,,,,,,,,,,,,,,
77.57935465,13.0929026,345947169,,yes,,,,,,,,,,,,,,
77.5797736834586,13.0926895992583,345947165,,yes,,,,,,,,,,,,,,
77.5798935845921,13.0927574495713,345947077,,yes,,,,,,,,,,,,,,
77.5798782,13.09293535,345940234,,yes,,,,,,,,,,,,,,
77.5783225394158,13.0935438932949,-6257087,,yes,,,,,,,,,,,,,,
77.578335453682,13.0939782997437,345940265,,yes,,,,,,,,,,,,,,
77.57853675,13.0939059,345940230,,yes,,,,,,,,,,,,,,
77.57832565,13.0941234,345940184,,yes,,,,,,,,,,,,,,
77.578428458005,13.0940724502462,345940197,,yes,,,,,,,,,,,,,,
77.5784922914201,13.0941487502799,345940188,,yes,,,,,,,,,,,,,,
77.57834795,13.0941908,345940288,,yes,,,,,,,,,,,,,,
77.5785425,13.09421285,345940291,,yes,,,,,,,,,,,,,,
77.5784727001534,13.09428204999,345940203,,yes,,,,,,,,,,,,,,
77.5791717072675,13.0931131502154,345947080,,yes,,,,,,,,,,,,,,
77.579254158196,13.0930683002036,345947190,,yes,,,,,,,,,,,,,,
77.5792132842464,13.0932503993948,345947225,,yes,,,,,,,,,,,,,,
77.5792436053312,13.0933260503668,345947122,,yes,,,,,,,,,,,,,,
77.5791946594038,13.0935198502821,345940249,,yes,,,,,,,,,,,,,,
77.579105753476,13.0935760003668,345940171,,yes,,,,,,,,,,,,,,
77.5792217652617,13.0936074005764,345940154,,yes,,,,,,,,,,,,,,
77.579344,13.0930169,345947186,,yes,,,,,,,,,,,,,,
77.57941605,13.0929726,345947092,,yes,,,,,,,,,,,,,,
77.57949805,13.0930929,345947062,,yes,,,,,,,,,,,,,,
77.5795738926763,13.0930695996864,345947228,,yes,,,,,,,,,,,,,,
77.57960905,13.09312175,345947247,,yes,,,,,,,,,,,,,,
77.5794149198088,13.0931777502666,345947213,,yes,,,,,,,,,,,,,,
77.57929015,13.0932537,345947150,,yes,,,,,,,,,,,,,,
77.5793941950239,13.0932513994722,345947128,,yes,,,,,,,,,,,,,,
77.5795241,13.0931546,345947153,,yes,,,,,,,,,,,,,,
77.5796074,13.0931717,345940239,,yes,,,,,,,,,,,,,,
77.5796424801463,13.0930565996231,345947261,,yes,,,,,,,,,,,,,,
77.5797936667468,13.0929855504207,345940252,,yes,,,,,,,,,,,,,,
77.5799168,13.09302525,345940156,,yes,,,,,,,,,,,,,,
77.57970895,13.0931966,345940257,,yes,,,,,,,,,,,,,,
77.5796286941066,13.093226099127,345940260,,yes,,,,,,,,,,,,,,
